Item #,Download date,Download cancelled,Media type,Downloaded by,Subscription,Account overage,Title,Caption,Contributor,Source,File size,Project code,Download notes,Duplicate downloads
1158879424,2020-04-14T03:21:53.3955942,,Photos,klippekort gyldendal,Klippekort,,Portrait of smiling girl in the garden,"",Westend61,Westend61,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1093114772,2020-04-14T03:21:53.3930583,,Photos,klippekort gyldendal,Klippekort,,Portrait Of Smiling Girl,"Photo Taken In De Beek, Netherlands",EyeEm,EyeEm,4096 x 2730 px (34.68 x 23.11 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
519517863,2020-04-14T03:21:53.3905207,,Photos,klippekort gyldendal,Klippekort,,Caucasian boys celebrating in music class,"",DigitalVision,Digital Vision,5150 x 3433 px (43.60 x 29.07 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
87294639,2020-04-14T03:21:53.3879307,,Photos,klippekort gyldendal,Klippekort,,Hispanic girl posing in karate uniform,"",DigitalVision,Digital Vision,5150 x 3434 px (43.60 x 29.07 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
519518265,2020-04-14T03:21:53.3855855,,Photos,klippekort gyldendal,Klippekort,,Student orchestra playing on stage,"",DigitalVision,Digital Vision,5150 x 3433 px (43.60 x 29.07 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
87294635,2020-04-14T03:21:53.3831822,,Photos,klippekort gyldendal,Klippekort,,Hispanic girl posing in karate uniform,"",DigitalVision,Digital Vision,3434 x 5150 px (29.07 x 43.60 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
670875193,2020-04-14T03:21:53.3793673,,Photos,klippekort gyldendal,Klippekort,,Teenage girl showjumping,"",RooM,RooM RF,3008 x 2008 px (25.47 x 17.00 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
89796651,2020-04-14T03:21:53.3769944,,Photos,klippekort gyldendal,Klippekort,,A little girl making a scary face,"",fStop,fStop,3346 x 5019 px (28.33 x 42.49 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
619872442,2020-04-14T03:21:53.374639,,Photos,klippekort gyldendal,Klippekort,,"Everest base camp, Nepal",The Everest Base Camp trek on the south side is one of the most popular trekking routes in the Himalayas and is visited by thousands of trekkers each year.,Moment,Moment RF,6703 x 4475 px (56.75 x 37.89 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1131211380,2020-04-14T03:21:53.3722113,,Photos,klippekort gyldendal,Klippekort,,"A perfectly needle-like cone tornado reaches out for the ground, Campo, Colorado, USA","",Image Source,Image Source,4001 x 2667 px (33.88 x 22.58 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
104549780,2020-04-14T03:21:53.369757,,Photos,klippekort gyldendal,Klippekort,,Samoa Marks One Year Anniversary Of Earthquake & Tsunami,"APIA, SAMOA - SEPTEMBER 29:  (EDITORS NOTE: Image is a digital composite) In this composite image, a before and after contrast is seen on the first anniversary of the 2009 Samoa earthquake and subsequent tsunami, on September 29, 2009 in Lalomanu, Samoa. 189 people were killed and hundreds more injured in Samoa, American Samoa, and Tonga. (Photos by Staff (left) Phil Walter and Hannah Johnston (right)",Getty Images News,Getty Images AsiaPac,2400 x 3000 px (20.32 x 25.40 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
982396546,2020-04-14T03:21:53.3674411,,Photos,klippekort gyldendal,Klippekort,,"Greenland, ski tourer and huskies","",Westend61,Westend61,6802 x 4859 px (57.59 x 41.14 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
155113496,2020-04-14T03:21:53.3650388,,Photos,klippekort gyldendal,Klippekort,,Drought,Woman and girl walking on drought.,Moment,Moment RF,4320 x 2868 px (36.58 x 24.28 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
1007226354,2020-04-14T03:21:53.3624117,,Photos,klippekort gyldendal,Klippekort,,"A wild adult male bee hummingbird (Mellisuga helenae), attracted to hand-held flower near Playa Larga, Cuba, West Indies, Caribbean, Central America","",Collection Mix: Subjects,Collection Mix Subjects RF,5400 x 3600 px (45.72 x 30.48 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
489528513,2020-04-14T03:21:53.3600068,,Photos,klippekort gyldendal,Klippekort,,Liverpool v Newcastle United - Premier League,"LIVERPOOL, ENGLAND - MAY 11:  Daniel Agger of Liverpool (5) shoots past Tim Krul of Newcastle United to score their first goal during the Barclays Premier League match between Liverpool and Newcastle United at Anfield on May 11, 2014 in Liverpool, England.  (Photo by Laurence Griffiths/Getty Images)",Getty Images Sport,Getty Images Europe,4174 x 2706 px - RGB,,Explore 5 My Book (C.E),
977850076,2020-04-14T03:21:53.3551285,,Photos,klippekort gyldendal,Klippekort,,GiantsCauseway,"",500Px Plus,500px Plus,4280 x 2841 px (36.24 x 24.05 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
550777301,2020-04-14T03:21:53.3520177,,Photos,klippekort gyldendal,Klippekort,,Edinburgh Castle And Houses Against Cloudy Sky,"",EyeEm,EyeEm,2048 x 1365 px (17.34 x 11.56 cm) - 300 dpi - RGB,,Explore 5 My Book (C.E),
72385343,2020-04-14T02:21:26.7142358,,Photos,klippekort gyldendal,Easy-access,,Ernest Hemingway,CUBA - AUGUST 01:  Portrait of author Ernest Hemingway.  (Photo by Alfred Eisenstaedt/The LIFE Picture Collection via Getty Images),The LIFE Picture Collection,The LIFE Picture Collection,3712 x 5005 px (31.43 x 42.38 cm) - 300 dpi - RGB,,E1 (C.E),
515143232,2020-04-14T02:18:09.9291066,,Photos,klippekort gyldendal,Klippekort,,Vehicles and Workers Outside Detroit Automobile Plant,"(Original Caption) Detroit, Michigan: The Afternoon Shift At The Biggest Automobile Plant In The World. Photo shows workers in the Ford Automobile Plant at Highland Park, leaving their shift. Employees waiting on line for Woodward avenue trolley cars outside Highland Park plant.",Bettmann,Bettmann,4073 x 3128 px (34.48 x 26.48 cm) - 300 dpi - RGB,,E1 (C.E),
1018355410,2020-04-14T02:16:57.6890737,,Photos,klippekort gyldendal,Klippekort,,"Aerial view of Kya Sands in Johannesburg, South Africa","JOHANNESBURG, SOUTH AFRICA - JULY 19: An aerial view of the poor black squatter camp Kya Sands, home to South Africans and many African Immigrants on July 19, 2018 in Johannesburg, South Africa. Across the road Bloubusrand, a middle class area with larger houses and swimming pools. South Africa has one of the highest income differences in the world and the country is struggling with a high unemployment rate and low growth rate. (Photo by Per-Anders Pettersson/Getty Images)",Getty Images News,Getty Images Europe,5760 x 3840 px (48.77 x 32.51 cm) - 300 dpi - RGB,,E1 (C.E),
2438388,2020-04-13T22:58:06.2459506,,Photos,klippekort gyldendal,Klippekort,,(FILE PHOTO) Authorities Release 9-11 Emergency Tapes,"NEW YORK - SEPTEMBER 11, 2001:  (FILE PHOTO) A fiery blasts rocks the south tower of the World Trade Center as the hijacked United Airlines Flight 175 from Boston crashes into the building September 11, 2001 in New York City. Almost two years after the September 11 attack on the World Trade Center, the New York Port Authority is releasing transcripts on August 28, 2003 of emergency calls made from inside the twin towers.  (Photo by Spencer Platt/Getty Images)",Getty Images News,Getty Images North America,2541 x 3000 px (21.51 x 25.40 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
50693777,2020-04-08T06:06:26.68988,,Photos,klippekort gyldendal,Easy-access,,Florence Nightingale,Nurse Florence Nightingale.  (Photo by Time Life Pictures/Mansell/The LIFE Picture Collection via Getty Images),The LIFE Picture Collection,The LIFE Picture Collection,1214 x 2048 px - RGB,,SKILLS HO (C.E),
50489701,2020-04-08T06:06:26.6855201,,Photos,klippekort gyldendal,Easy-access,,Alexander Fleming,Prof. Alexander Fleming working in laboratory.  (Photo by Hans Wild/The LIFE Picture Collection via Getty Images),The LIFE Picture Collection,The LIFE Picture Collection,1913 x 2377 px (16.20 x 20.13 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
542134478,2020-04-08T06:06:26.6817616,,Photos,klippekort gyldendal,Klippekort,,Dancing Queen: Amputee Ballerina Learns to Dance Again,"***STRICT ONLINE EMBARGO UNTIL 00.01AM GMT THURSDAY 23RD JUNE 2016***

*** EXCLUSIVE - VIDEO AVAILABLE ***


WARRENSBURG, MO - MARCH 21: Gabi Shull at her ballet studio on March 21, 2016 in Warrensburg, Missouri.

AN AMPUTEE schoolgirl who lost a leg to cancer has defied the odds to become a competitive dancer. When ballerina Gabi Shull had her leg amputated she feared she would never dance again. But thanks to groundbreaking rotationplasty surgery, the 14-year-old bone cancer survivor has been able to get back on her toes. Gabi was diagnosed with osteosarcoma in March 2011, when she was just nine-years-old. Her diseased knee was removed and her foot was rotated 180 degrees and reattached to her upper leg  with her ankle serving as her knee. Gabi was fitted with a prosthetic lower leg and took her first steps a year later. Now Gabi, from Missouri, America, can bend and flex her prosthesis by moving her foot and is now encouraging others to live their dreams and never give up.

PHOTOGRAPH BY Andrew Thomas / Barcroft Images

London-T:+44 207 033 1031 E:hello@barcroftmedia.com -
New York-T:+1 212 796 2458 E:hello@barcroftusa.com -
New Delhi-T:+91 11 4053 2429 E:hello@barcroftindia.com www.barcroftimages.com (Photo credit should read Andrew Thomas / Barcroft Media via Getty Images / Barcroft Media via Getty Images)",Barcroft Media,Barcroft Media,3648 x 5472 px (30.89 x 46.33 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
142573378,2020-04-08T06:06:26.6784483,,Photos,klippekort gyldendal,Klippekort,,Genetic engineer taking a sample out of a apparat,"",DigitalVision,Digital Vision,5197 x 3465 px (44.00 x 29.34 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1131376805,2020-04-08T06:06:26.6752415,,Photos,klippekort gyldendal,Klippekort,,Woman relaxing at desk in office surrounded by paperwork,"",Westend61,Westend61,5616 x 3744 px (47.55 x 31.70 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
565440885,2020-04-08T06:06:26.6720455,,Photos,klippekort gyldendal,Klippekort,,Teenage Boy Performing Stunt on Skateboard,"",Moment,Moment RF,6144 x 4081 px (52.02 x 34.55 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
995414690,2020-04-08T06:06:26.6687871,,Photos,klippekort gyldendal,Klippekort,,Top view of 3 tween girls looking at their smartphones,Tween girls hanging out together in bohemian style home,DigitalVision,Digital Vision,6019 x 4013 px (50.96 x 33.98 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
75651256,2020-04-08T06:06:26.6653884,,Photos,klippekort gyldendal,Klippekort,,Close up of female doctor wearing surgical mask,"",Tetra images,Tetra images RF,4621 x 3781 px (39.12 x 32.01 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1055494208,2020-04-08T06:06:26.6617185,,Photos,klippekort gyldendal,Klippekort,,The Columbia Journalism Review's 'Misinformation news stand' ,"NEW YORK, USA - OCTOBER 30: A misinformation news stand is seen in Manhattan, New York, United States on October 30, 2018. The Columbia Journalism Review is aiming to educate news consumers about the dangers of fake news or disinformation. (Photo by Atilgan Ozdil/Anadolu Agency/Getty Images)",Anadolu Agency,Anadolu,5922 x 3948 px (50.14 x 33.43 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1090707276,2020-04-08T06:06:26.6581172,,Photos,klippekort gyldendal,Klippekort,,"UK, Scotland, Highlands, Glenfinnan viaduct with a steam train passing over it","",Westend61,Westend61,7360 x 4912 px (62.31 x 41.59 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
492448472,2020-04-08T06:06:26.6510942,,Photos,klippekort gyldendal,Klippekort,,Paramilitary Groups Set Up A New Loyalist Community Council,"BELFAST, NORTHERN IRELAND - OCTOBER 13:  A young boy walks past a loyalist paramilitary mural on the day that the new Loyalist Community Council was launched at the Park Avenue Hotel on October 13, 2015 in Belfast, Northern Ireland. The council has the backing of the three main loyalist paramilitary groups, the UVF, the UDA and the Red Hand Commandos. A joint statement from the three loyalist groups said that they are ""re-committing to the principals of the Belfast Agreement"" and that they ""eschew all violence and criminality"". The launch of the new loyalist community council comes against the backdrop of an ongoing crisis at Stormont following following allegations that the IRA were involved in the murder of their former member Kevin McGuigan.   (Photo by Charles McQuillan/Getty Images)",Getty Images News,Getty Images Europe,4079 x 2891 px (34.54 x 24.48 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1134291628,2020-04-08T06:06:26.6465739,,Photos,klippekort gyldendal,Klippekort,,Male Manager Shaking Hands With Female Applicant,Male Manager Shaking Hands With Female Applicant,E+,E Plus,6720 x 4480 px (56.90 x 37.93 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
686726393,2020-04-08T06:06:26.6421441,,Photos,klippekort gyldendal,Klippekort,,"USA, New York State, New York City, Aerial view of Statue of Liberty at sunrise","",Tetra images,Tetra images RF,5137 x 3409 px (43.49 x 28.86 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
142740308,2020-04-08T06:06:26.6378934,,Photos,klippekort gyldendal,Klippekort,,Mixed race boy saying the pledge of allegiance,"",DigitalVision,Digital Vision,4956 x 3524 px (41.96 x 29.84 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1193075082,2020-04-08T06:06:26.6341095,,Photos,klippekort gyldendal,Klippekort,,Asylum Seekers Fill Tent Camps As Part Of U.S. “Remain In Mexico” Policy,"MATAMOROS, MEXICO - DECEMBER 08: A family of Mexican asylum seekers walks to the center of the international bridge between Mexico and the United States to officially request political asylum from U.S. immigration authorities on December 08, 2019 in the Mexican border town of Matamoros, Mexico. They had been staying in a squalid camp, located across the international bridge from Brownsville, Texas, which houses more than 1,000 Central American and Mexican family members. The immigrants are now required by the U.S. government to wait in Mexico as part of the Trump Administration's ""Remain in Mexico"" process for people legally seeking political asylum in the United States.  (Photo by John Moore/Getty Images)",Getty Images News,Getty Images South America,3963 x 2674 px (33.55 x 22.64 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1129360656,2020-04-08T06:06:26.630663,,Photos,klippekort gyldendal,Klippekort,,Greta Thunberg Portraits,"STOCKHOLM, SWEDEN - AUGUST 28: Fifteen year old Swedish student Greta Thunberg leads a school strike and sits outside of Riksdagen, the Swedish parliament building, in order to raises awareness for climate change on August 28, 2018 in Stockholm, Sweden. (Photo by MICHAEL CAMPANELLA/Getty Images)",Getty Images News,Getty Images Europe,4825 x 3619 px (40.85 x 30.64 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1080244618,2020-04-08T06:06:26.6276079,,Photos,klippekort gyldendal,Klippekort,,An Evening With Malala Yousafzai - Sydney,"SYDNEY, AUSTRALIA - DECEMBER 10: Malala Yousafzai talks to over 6,000 guests at ICC Sydney Theatre on December 10, 2018 in Sydney, Australia. Malala Yousafzai is a Pakistani activist for female education and the youngest Nobel Prize laureate. At age 11, Malala began her campaign for the rights of girls to receive an education, blogging about life under the Taliban in Pakistan's Swat Valley. At 15 years she survived a gunshot to the head after the Taliban tried to silence her. After her recovery, Malala established a charity dedicated to giving every girl an opportunity to achieve a future she chooses. Now a student at Oxford University, Malala continues to fight for the education of all children, all over the world.  (Photo by James D. Morgan/Getty Images for The Growth Faculty)",Getty Images News,Getty Images AsiaPac,5568 x 3712 px (47.14 x 31.43 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
618397140,2020-04-08T06:06:26.6242326,,Photos,klippekort gyldendal,Klippekort,,San Francisco 49ers v Buffalo Bills,"ORCHARD PARK, NY - OCTOBER 15: Eli Harold #58, Colin Kaepernick #7 and Eric Reid #35 of the San Francisco 49ers kneel in protest on the sideline, during the anthem,  prior to the game against the Buffalo Bills at New Era Field on October 16, 2016 in Orchard Park, New York. The Bills defeated the 49ers 45-16. (Photo by Michael Zagaris/San Francisco 49ers/Getty Images) ",Getty Images Sport,Getty Images North America,5184 x 3456 px (43.89 x 29.26 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
530168202,2020-04-08T06:06:26.62102,,Photos,klippekort gyldendal,Klippekort,,Children watching puppet theatre outdoor,"",Johner Images Royalty-Free,Johner Images Royalty-Free,7301 x 4867 px (61.82 x 41.21 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
89076182,2020-04-08T06:06:26.6175646,,Photos,klippekort gyldendal,Klippekort,,Healthcare worker with elderly man,Healthcare worker with elderly man,Brand X Pictures,Brand X,6271 x 4180 px (134.99 x 89.98 cm) - 118 dpi - RGB,,SKILLS HO (C.E),
sb10067414u-001,2020-04-08T06:06:26.6143895,,Photos,klippekort gyldendal,Klippekort,,"Senior man in wheelchair eating salad, portrait","",Stockbyte,Stockbyte,4825 x 3623 px (40.85 x 30.67 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
464827671,2020-04-08T06:06:26.610975,,Photos,klippekort gyldendal,Klippekort,,Autism Assistance Dog,"TORONTO, ON - JANUARY 23: Eric Gabison, 16, spends some time with Azra, a black Labrador Autism Assistance Dog, last April to help with his condition, autism at home. Toronto, January 23, 2014.        (Vince Talotta/Toronto Star via Getty Images)",Toronto Star,Toronto Star,4806 x 3108 px (61.04 x 39.47 cm) - 200 dpi - RGB,,SKILLS HO (C.E),
615275104,2020-04-08T06:06:26.6077457,,Photos,klippekort gyldendal,Klippekort,,W.P. Zuber,Portrait of W.P. Zuber with a hearing trumpet up to his ear. (Photo by © CORBIS/Corbis via Getty Images),Corbis Historical,Corbis Historical,2257 x 3491 px (19.11 x 29.56 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
97612608,2020-04-08T06:06:26.6046424,,Photos,klippekort gyldendal,Klippekort,,"Nurse holding finger to lips, portrait","",PhotoAlto Agency RF Collections,PhotoAlto,3508 x 5256 px (29.70 x 44.50 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1069291478,2020-04-08T06:06:26.6011978,,Photos,klippekort gyldendal,Klippekort,,Abstract Thinking Digital Head Concept Illustration,Illustration of the Race against Time idea in square format. A digital generated image in vector of a couple of faces in side view. Monochromatic green and flowing curving lines for a soft emotional impression. Creative thinking concept. Life and technology. Virtual concept. The internal conflict in human thoughts.,Moment,Moment RF,7071 x 7071 px (59.87 x 59.87 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1609634,2020-04-08T06:06:26.5976201,,Photos,klippekort gyldendal,Klippekort,,"Cast of NBC TV Show ""Scrubs""","393352 01: The cast of the television show ""Scrubs"" poses for a publicity photo. (Photo Courtesy of NBC/Getty Images)",Getty Images Entertainment,Getty Images North America,1983 x 3000 px (16.79 x 25.40 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
682710372,2020-04-08T06:06:26.5944618,,Photos,klippekort gyldendal,Klippekort,,"Paragliding over Queenstown and Lake Wakaitipu from viewpoint at Queenstown Skyline, New Zealand","",Moment,Moment RF,4756 x 3171 px (40.27 x 26.85 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
82133426,2020-04-08T06:06:26.5914312,,Photos,klippekort gyldendal,Klippekort,,Two Scuba Divers on Great Barrier Reef,"Two Scuba Divers swimming over Colorful Tropical Coral Reef, with two Pacific Double-saddle Butterflyfish (Chaetodon ulietensis), Big Longnose Butterflyfish (Forcipiger longirostris), Blue-spot Butterflyfish (Chaetodon plebeius), and a Saddled Butterflyfish (Chaetodon ephippium),  Great Barrier Reef, Coral Sea, South Pacific Ocean, Australia.  (Digital Composite)",Photographer's Choice RF,Photographer's Choice RF,5120 x 3413 px (43.35 x 28.90 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
1179923174,2020-04-08T06:06:26.5880469,,Photos,klippekort gyldendal,Klippekort,,Beautiful sunset landscape of nahargarh fort  ancient mughal walls and palace located middle of   jaipur india,"",Moment,Moment RF,6000 x 4000 px (50.80 x 33.87 cm) - 300 dpi - RGB,,SKILLS HO (C.E),
